,value,value_no_cl,cos_month,sin_month,cos_n_week,sin_n_week,cos_weekday,sin_weekday,holiday,day_before_holiday,week_with_holiday,trm_shift_45,trm_shift_60,trm_shift_404,trm_shift_592,gt_carro,gt_moto,gt_RUNT
2018-05-06,,,-0.8660254037844387,0.49999999999999994,-0.5680647467311557,0.8229838658936565,0.6234898018587334,-0.7818314824680299,0.0,0.0,1.0,2853.9385714285713,2869.797142857143,2910.891428571428,2945.7400000000002,915.0,1009.0,270.0
2018-05-07,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,1.0,0.0,0.0,0.0,0.0,2855.058571428571,2868.502857142857,2911.9085714285716,2934.5257142857145,827.0,995.0,189.0
2018-05-08,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,0.6234898018587336,0.7818314824680298,0.0,0.0,0.0,2854.5628571428574,2867.404285714286,2904.937142857143,2923.6714285714284,793.0,935.0,309.0
2018-05-09,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,-0.22252093395631434,0.9749279121818236,0.0,0.0,0.0,2854.067142857143,2865.6585714285716,2899.078571428571,2918.152857142857,768.0,814.0,341.0
2018-05-10,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,-0.900968867902419,0.43388373911755823,0.0,0.0,0.0,2853.5714285714284,2863.912857142857,2897.0257142857145,2912.6342857142854,709.0,822.0,302.0
2018-05-11,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,-0.9009688679024191,-0.433883739117558,0.0,0.0,0.0,2848.407142857143,2862.1671428571426,2894.972857142857,2907.1157142857146,672.0,728.0,271.0
2018-05-12,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,-0.2225209339563146,-0.9749279121818236,0.0,0.0,0.0,2835.9957142857143,2861.1314285714284,2892.9200000000005,2905.6014285714286,368.0,974.0,280.0
2018-05-13,,,-0.8660254037844387,0.49999999999999994,-0.663122658240795,0.7485107481711013,0.6234898018587334,-0.7818314824680299,0.0,0.0,0.0,2825.964285714286,2861.6071428571427,2886.261428571429,2907.155714285714,418.0,987.0,176.0
2018-05-14,,,-0.8660254037844387,0.49999999999999994,-0.7485107481711012,0.6631226582407952,1.0,0.0,1.0,0.0,1.0,2814.905714285714,2859.7328571428566,2880.1657142857143,2910.0071428571428,450.0,996.0,85.0
2018-05-15,,,-0.8660254037844387,0.49999999999999994,-0.7485107481711012,0.6631226582407952,0.6234898018587336,0.7818314824680298,0.0,1.0,1.0,2805.1142857142854,2856.6871428571426,2875.827142857143,2912.497142857142,325.0,915.0,85.0
